GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core YCSB,com.yahoo.ycsb.measurements.exporter,TextMeasurementsExporter,85,0,0,0,14,0,5,0,5,0
Core YCSB,com.yahoo.ycsb.measurements.exporter,JSONMeasurementsExporter,102,0,2,0,27,0,6,0,5,0
Core YCSB,com.yahoo.ycsb.measurements.exporter,JSONArrayMeasurementsExporter,0,108,1,1,0,29,1,5,0,5
Core YCSB,com.yahoo.ycsb.measurements,TwoInOneMeasurement,48,0,0,0,13,0,5,0,5,0
Core YCSB,com.yahoo.ycsb.measurements,Measurements.StartTimeHolder,13,0,2,0,4,0,3,0,2,0
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementHdrHistogram,391,79,19,3,59,16,14,4,4,3
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementHistogram,51,272,5,19,8,48,5,11,1,3
Core YCSB,com.yahoo.ycsb.measurements,SeriesUnit,9,0,0,0,4,0,1,0,1,0
Core YCSB,com.yahoo.ycsb.measurements,Measurements,291,172,33,15,60,47,30,14,5,9
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementRaw.RawDataPoint,18,0,0,0,6,0,3,0,3,0
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementRaw.RawDataPointComparator,22,0,4,0,6,0,4,0,2,0
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurement,26,48,2,4,3,14,2,5,0,4
Core YCSB,com.yahoo.ycsb.measurements,Measurements.MeasurementType,0,64,0,0,0,7,0,1,0,1
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementRaw,383,0,12,0,65,0,10,0,4,0
Core YCSB,com.yahoo.ycsb.measurements,Measurements.new ThreadLocal() {...},4,6,0,0,1,1,1,1,1,1
Core YCSB,com.yahoo.ycsb.measurements,OneMeasurementTimeSeries,270,0,16,0,55,0,13,0,5,0
Core YCSB,com.yahoo.ycsb,Workload,13,9,0,0,6,2,5,1,5,1
Core YCSB,com.yahoo.ycsb,UnknownDBException,16,0,0,0,8,0,4,0,4,0
